dataset, firstfit, firstfitdecreasing, MBS, MBS', MBS'sampling, VNS, best known solution,d1,d2,d3,d4,d5,d6
u500_00, 211, 201, 200, 200, 198, 198, 198,0.06565656565656566,0.015151515151515152,0.010101010101010102,0.010101010101010102,0.0,0.0
u500_01, 213, 204, 201, 201, 201, 201, 201,0.05970149253731343,0.014925373134328358,0.0,0.0,0.0,0.0
u500_02, 212, 205, 203, 203, 202, 202, 202,0.04950495049504951,0.01485148514851485,0.0049504950495049506,0.0049504950495049506,0.0,0.0
u500_03, 216, 207, 206, 206, 204, 204, 204,0.058823529411764705,0.014705882352941176,0.00980392156862745,0.00980392156862745,0.0,0.0
u500_04, 219, 209, 206, 206, 206, 206, 206,0.06310679611650485,0.014563106796116505,0.0,0.0,0.0,0.0
u500_05, 219, 207, 207, 207, 206, 207, 206,0.06310679611650485,0.0048543689320388345,0.0048543689320388345,0.0048543689320388345,0.0,0.0048543689320388345
u500_06, 220, 210, 209, 209, 208, 208, 207,0.06280193236714976,0.014492753623188406,0.00966183574879227,0.00966183574879227,0.004830917874396135,0.004830917874396135
u500_07, 219, 207, 205, 205, 205, 205, 204,0.07352941176470588,0.014705882352941176,0.004901960784313725,0.004901960784313725,0.004901960784313725,0.004901960784313725
u500_08, 207, 199, 197, 197, 196, 196, 196,0.05612244897959184,0.015306122448979591,0.00510204081632653,0.00510204081632653,0.0,0.0
u500_09, 213, 204, 203, 203, 202, 202, 202,0.054455445544554455,0.009900990099009901,0.0049504950495049506,0.0049504950495049506,0.0,0.0
u500_10, 210, 202, 200, 200, 200, 200, 200,0.05,0.01,0.0,0.0,0.0,0.0
u500_11, 212, 203, 200, 200, 200, 200, 200,0.06,0.015,0.0,0.0,0.0,0.0
u500_12, 210, 202, 199, 199, 199, 199, 199,0.05527638190954774,0.01507537688442211,0.0,0.0,0.0,0.0
u500_13, 208, 198, 196, 196, 196, 196, 196,0.061224489795918366,0.01020408163265306,0.0,0.0,0.0,0.0
u500_14, 215, 206, 205, 205, 204, 204, 204,0.05392156862745098,0.00980392156862745,0.004901960784313725,0.004901960784313725,0.0,0.0
u500_15, 212, 204, 201, 201, 201, 201, 201,0.05472636815920398,0.014925373134328358,0.0,0.0,0.0,0.0
u500_16, 212, 205, 202, 202, 202, 202, 202,0.04950495049504951,0.01485148514851485,0.0,0.0,0.0,0.0
u500_17, 207, 201, 198, 198, 198, 198, 198,0.045454545454545456,0.015151515151515152,0.0,0.0,0.0,0.0
u500_18, 212, 205, 202, 202, 202, 202, 202,0.04950495049504951,0.01485148514851485,0.0,0.0,0.0,0.0
u500_19, 208, 199, 196, 196, 196, 196, 196,0.061224489795918366,0.015306122448979591,0.0,0.0,0.0,0.0
